leaves,x0,x1,x2,x3,bottom_permutation,top_permutation,permutation,orbits
29,3,8,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 29),(0 28)(1 23)(2 7)(3 10)(4 6)(5 8)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 25)(24 27)(26 29),"[[28, 25, 21, 24, 27, 29, 26, 23, 1, 4, 6, 3, 10, 7, 2, 0], [8, 5], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17], [22, 19]]",8
15,4,0,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 3)(2 9)(4 6)(5 8)(7 11)(10 13)(12 15),"[[14, 11, 7, 10, 13, 15, 12, 9, 2, 0], [3, 6, 4, 1], [8, 5]]",3
17,4,1,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 17),(0 16)(1 9)(2 7)(3 11)(4 6)(5 8)(10 13)(12 15)(14 17),"[[16, 13, 10, 7, 2, 0], [9, 12, 15, 17, 14, 11, 3, 6, 4, 1], [8, 5]]",3
19,4,2,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 19),(0 18)(1 11)(2 7)(3 10)(4 6)(5 8)(9 13)(12 15)(14 17)(16 19),"[[18, 15, 12, 9, 13, 16, 19, 17, 14, 11, 1, 4, 6, 3, 10, 7, 2, 0], [8, 5]]",2
21,4,3,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 21),(0 20)(1 13)(2 7)(3 10)(4 6)(5 8)(9 12)(11 15)(14 17)(16 19)(18 21),"[[20, 17, 14, 11, 15, 18, 21, 19, 16, 13, 1, 4, 6, 3, 10, 7, 2, 0], [8, 5], [12, 9]]",3
23,4,4,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 23),(0 22)(1 15)(2 7)(3 10)(4 6)(5 8)(9 12)(11 14)(13 17)(16 19)(18 21)(20 23),"[[22, 19, 16, 13, 17, 20, 23, 21, 18, 15, 1, 4, 6, 3, 10, 7, 2, 0], [8, 5], [12, 9], [14, 11]]",4
25,4,5,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 25),(0 24)(1 17)(2 7)(3 10)(4 6)(5 8)(9 12)(11 14)(13 16)(15 19)(18 21)(20 23)(22 25),"[[24, 21, 18, 15, 19, 22, 25, 23, 20, 17, 1, 4, 6, 3, 10, 7, 2, 0], [8, 5], [12, 9], [14, 11], [16, 13]]",5
27,4,6,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 27),(0 26)(1 19)(2 7)(3 10)(4 6)(5 8)(9 12)(11 14)(13 16)(15 18)(17 21)(20 23)(22 25)(24 27),"[[26, 23, 20, 17, 21, 24, 27, 25, 22, 19, 1, 4, 6, 3, 10, 7, 2, 0], [8, 5], [12, 9], [14, 11], [16, 13], [18, 15]]",6
29,4,7,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 29),(0 28)(1 21)(2 7)(3 10)(4 6)(5 8)(9 12)(11 14)(13 16)(15 18)(17 20)(19 23)(22 25)(24 27)(26 29),"[[28, 25, 22, 19, 23, 26, 29, 27, 24, 21, 1, 4, 6, 3, 10, 7, 2, 0], [8, 5], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17]]",7
31,4,8,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 31),(0 30)(1 23)(2 7)(3 10)(4 6)(5 8)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 25)(24 27)(26 29)(28 31),"[[30, 27, 24, 21, 25, 28, 31, 29, 26, 23, 1, 4, 6, 3, 10, 7, 2, 0], [8, 5], [12, 9], [14, 11], [16, 13], [18, 15], [20, 17], [22, 19]]",8
17,5,0,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 17),(0 16)(1 3)(2 9)(4 6)(5 8)(7 11)(10 13)(12 15)(14 17),"[[16, 13, 10, 7, 11, 14, 17, 15, 12, 9, 2, 0], [3, 6, 4, 1], [8, 5]]",3
19,5,1,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 19),(0 18)(1 9)(2 7)(3 11)(4 6)(5 8)(10 13)(12 15)(14 17)(16 19),"[[18, 15, 12, 9, 1, 4, 6, 3, 11, 14, 17, 19, 16, 13, 10, 7, 2, 0], [8, 5]]",2
21,5,2,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 21),(0 20)(1 11)(2 7)(3 10)(4 6)(5 8)(9 13)(12 15)(14 17)(16 19)(18 21),"[[20, 17, 14, 11, 1, 4, 6, 3, 10, 7, 2, 0], [8, 5], [13, 16, 19, 21, 18, 15, 12, 9]]",3
23,5,3,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 23),(0 22)(1 13)(2 7)(3 10)(4 6)(5 8)(9 12)(11 15)(14 17)(16 19)(18 21)(20 23),"[[22, 19, 16, 13, 1, 4, 6, 3, 10, 7, 2, 0], [8, 5], [12, 9], [15, 18, 21, 23, 20, 17, 14, 11]]",4
25,5,4,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 25),(0 24)(1 15)(2 7)(3 10)(4 6)(5 8)(9 12)(11 14)(13 17)(16 19)(18 21)(20 23)(22 25),"[[24, 21, 18, 15, 1, 4, 6, 3, 10, 7, 2, 0], [8, 5], [12, 9], [14, 11], [17, 20, 23, 25, 22, 19, 16, 13]]",5
27,5,5,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 27),(0 26)(1 17)(2 7)(3 10)(4 6)(5 8)(9 12)(11 14)(13 16)(15 19)(18 21)(20 23)(22 25)(24 27),"[[26, 23, 20, 17, 1, 4, 6, 3, 10, 7, 2, 0], [8, 5], [12, 9], [14, 11], [16, 13], [19, 22, 25, 27, 24, 21, 18, 15]]",6
29,5,6,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 29),(0 28)(1 19)(2 7)(3 10)(4 6)(5 8)(9 12)(11 14)(13 16)(15 18)(17 21)(20 23)(22 25)(24 27)(26 29),"[[28, 25, 22, 19, 1, 4, 6, 3, 10, 7, 2, 0], [8, 5], [12, 9], [14, 11], [16, 13], [18, 15], [21, 24, 27, 29, 26, 23, 20, 17]]",7
